Account Name,Corporate Structure,Certified B Corp,State of Incorporation,Operating State/Province,Operating Country,Website
"All About Naturals, Inc.",Benefit Corporation,FALSE,NV,,,
All About You Luxury Transportation LLC,Benefit LLC,FALSE,OR,Oregon,United States,
All Across Africa,Benefit Corporation,TRUE,CA,California,United States,allacrossafrica.org
All American Air Conditioning,Benefit Corporation,FALSE,NV,,,
"All City Signs & Printing, Inc.",Benefit Corporation,FALSE,NV,,,
ALL CONDITIONS WEAR INC.,Benefit Corporation,FALSE,NY,,,
All Good by Elemental Herbs,Benefit Corporation,TRUE,CA,California,United States,www.allgoodproducts.com
All Granite & Marble Inc,Benefit Corporation,FALSE,CO,,,
All Mans Junk LLC,Benefit LLC,FALSE,OR,,,
All Seasons Construction inc,Benefit Corporation,FALSE,CO,,,
All Time Wireless Corporation,Benefit Corporation,FALSE,NV,,,
"Allbirds, Inc.",Benefit Corporation,TRUE,DE,California,United States,www.allbirds.com
"Allcare Cco, Inc.",Benefit Corporation,FALSE,OR,,,
"Allcare Development, LLC",Benefit LLC,FALSE,OR,,,
"Allcare Ehealth Services, LLC",Benefit LLC,FALSE,OR,,,
"Allcare Health Plan, Inc.",Benefit Corporation,FALSE,OR,,,
"Allegiant Bookkeeping, Inc",Benefit Corporation,FALSE,ID,,,
Alliant International University,Benefit Corporation,TRUE,CA,California,United States,www.alliant.edu
Allied Material Handling Products Company,Benefit Corporation,FALSE,CO,Colorado,United States,www.alliedmh.com
Allies For African Diasporic Development Group,Benefit LLC,FALSE,MD,,United States,
"Allies, LLC",Benefit LLC,FALSE,OR,Oregon,United States,www.allies-llc.org
"Allison Sosna Group, Benefit LLC",Benefit LLC,FALSE,MD,Maryland,United States,
"Alltham, PBC",Benefit Corporation,FALSE,DE,Pennsylvania,United States,allthamsupply-com.3dcartstores.com
Allumette Candles Corporation,Benefit Corporation,FALSE,NY,,,
Allure Bistro LLC,Benefit LLC,FALSE,OR,,,
Almi International Corp.,Benefit Corporation,FALSE,NV,,,
Alnour Inc.,Benefit Corporation,FALSE,NV,,,
Aloetree,Benefit Corporation,FALSE,DC,"Washington, D.C.",United States,Www.aloetreekids.com
"Alpenglow Acquisitions, LLC",Benefit LLC,FALSE,OR,,,
"Alpha Consulting And Billing, Inc.",Benefit Corporation,FALSE,NV,,,
Alpha Source Logistics Inc,Benefit Corporation,FALSE,NV,,,
"Alr Brown & Associates, LLC",Benefit LLC,FALSE,OR,,,
Alta Care Homehealth Inc.,Benefit Corporation,FALSE,NV,Nevada,United States,
Alter Eco,Benefit Corporation,TRUE,DE,California,United States,www.alterecofoods.com
Alternative Facts Network Inc.,Benefit Corporation,FALSE,DE,,,
"Altham, Public Benefit Corporation",Benefit Corporation,FALSE,PA,,United States,
"Altonia On The Avenue, LLC.",Benefit LLC,FALSE,OR,,,
"Altru Protective Group, Inc",Benefit Corporation,FALSE,SC,,,
"AltSchool, PBC",Benefit Corporation,TRUE,DE,California,United States,altschool.com
Alumni Construction LLC,Benefit LLC,FALSE,OR,Oregon,United States,
Always Be Sustaining LLC,Benefit Corporation,FALSE,WI,Wisconsin,United States,www.alwaysbesustaining.com
"Always Cleaning Company, Inc.",Benefit Corporation,FALSE,MA,Massachusetts,United States,www.alwayscleaningcompany.com
AMAC Mortgage Company,Benefit Corporation,FALSE,CO,,,
Aman Apartments LLC,Benefit Corporation,FALSE,OR,,,
AMARKS INC,Benefit Corporation,FALSE,NY,,,
Amavida Coffee and Trading,Benefit Corporation,TRUE,FL,Florida,United States,www.amavida.com
amba capital ventures inc,Benefit Corporation,FALSE,NY,,,
Amber Technology Corp.,Benefit Corporation,FALSE,NV,,,
American Air Conditioning & Refrigeration Incorporated,Benefit Corporation,FALSE,NV,,,
"American Community Solutions, Inc.",Benefit Corporation,FALSE,CA,California,United States,www.americancommunitysolutions.com
American Eagle IT Resources Corporation,Benefit Corporation,FALSE,NY,,,
"American Green - Colorado, Inc.",Benefit Corporation,FALSE,CO,,,
"American Institute Of Cloud Auditors, PBC",Benefit Corporation,FALSE,DE,,,
American Landmark Homes Inc.,Benefit Corporation,FALSE,NV,,,
"American Prison Data Systems, PBC",Benefit Corporation,TRUE,DE,New York,United States,www.apdscorporate.com
American River Rv Inc,Benefit Corporation,FALSE,NV,,,
American Scholarships & Grants Organization Inc.,Benefit Corporation,FALSE,DE,,,
AMERICAN SCHOLARSHIPS AND TUITION ADMINISTRATION CORP,Benefit Corporation,FALSE,NY,,,
American Stonecraft,Benefit Corporation,FALSE,MA,Massachusetts,United States,www.americanstonecraft.com
American Veteran Garage Doors Corp.,Benefit Corporation,FALSE,NV,,,
"American Veterans Group, Pbc",Benefit Corporation,FALSE,DE,,,
American Walnut Milk Company,Benefit Corporation,FALSE,OR,,,
American Wheelchair Foundation,Benefit Corporation,FALSE,NV,,,
"Americans All, Benefit Corporation",Benefit Corporation,FALSE,MD,Maryland,United States,
"America'S Gardening Resource, Inc.",Benefit Corporation,FALSE,DE,,,
"America'S Nurses, A Public Benefit Corporation",Benefit Corporation,FALSE,DE,,,
Amexway Inc.,Benefit Corporation,FALSE,NV,,,
AMG FOOD TRADING INC,Benefit Corporation,FALSE,NY,,,
Amg Motorcars LLC,Benefit LLC,FALSE,OR,,,
Amjer Consulting LLC,Benefit Corporation,FALSE,OR,,,
Among The Stars LLC,Benefit LLC,FALSE,OR,,,
"Amp Your Impact, Inc.",Benefit Corporation,FALSE,CA,California,United States,www.ampyourimpact.com
"Amped Innovation, PBC",Benefit Corporation,FALSE,DE,,,
"Amplikai, Pbc",Benefit Corporation,FALSE,DE,,,
Amr Pdx LLC,Benefit LLC,FALSE,OR,,,
AMSA TECH INC,Benefit Corporation,FALSE,NY,,,
Amventure Inc.,Benefit Corporation,FALSE,NV,,,
Anahuac Corp,Benefit Corporation,FALSE,UT,,,
Ande Enterprises Inc,Benefit Corporation,FALSE,NV,,,
"Andean Naturals, Inc.",Benefit Corporation,TRUE,CA,California,United States,www.andeannaturals.com
"Anderson & Associates of Virginia, Inc.",Benefit Corporation,FALSE,VA,Virginia,United States,
Anderson Experts Incorporated,Benefit Corporation,FALSE,OR,,,
"Andrea Layne Photography, LLC",Benefit LLC,FALSE,OR,,,
Anew Group PBC,Benefit Corporation,FALSE,DE,,United States,
Angel Farms LLC,Benefit LLC,FALSE,OR,,,
